јвтомобиль;√од ;1-3лет ;4-5лет ;6-7лет ;8-9лет ;10-11лет ;	
	CitroenBerlingo 1997-2002;2007;;;20.1;28.1;;	
CitroenBerlingo 2002-2008;2007;4.8;11.1;;;;	
	CitroenC3 2005-;2007;5.1;;;;;	
CitroenC5 2004-2008;2007;7;7.1;;;;	
	CitroenSaxo 1996-2004;2007;;18.2;21.3;24.6;;	
CitroenXantia 1993-1998;2007;;;13.1;17.4;;	
	CitroenXantia 1998-2001;2007;;;13.1;;;	
CitroenXsara 1997-2004;2007;4.9;11;18.5;;;	
	CitroenZX 1991-1997;2007;;;;;35.6;	
FiatBravo 1995-2001;2007;;;19.8;24.9;25.5;	
	FiatCinquecento 1991-1998;2007;;;;;27.6;	
FiatDoblo 2001-2004;2007;;13.7;;;;	
	FiatDoblo 2004-;2007;10.4;;;;;	
FiatPunto 2003-;2007;7.4;12.5;;;;	
	FiatPuntoI 1993-1999;2007;;;;26.6;31.9;	
	FiatPuntoII 1999-2003;2007;;12.5;22.1;26.6;;	
	FiatSeicento 1998-2001;2007;;;20;;;	
FiatStilo 2001-2006;2007;9.1;;;;;	
	FordEscortVII 1995-2002;2007;;;;25;31.7;	
FordFiesta 2005-;2007;3.1;;;;;	
	FordFiestaIV 1996-2001;2007;;;19.5;27.2;;	
FordFiestaV 2001-2005;2007;3.1;8.6;19.5;;;	
	FordFocus 1998-2005;2007;5;9.4;12.1;;;	
FordFocusSedan 2005-2008;2007;5;;;;;	
	FordGalaxy 2000-2003;2007;;15.5;21.1;;;	
	FordGalaxy 2003-2006;2007;10.4;11.5;;;;	
	FordGalaxy 2006-;2007;10.4;;;;;	
FordMondeo 2005-2007;2007;6.5;;;;;	
	FordMondeoI 1993-2001;2007;;;16.8;23.9;30.1;	
FordMondeoII 2001-2005;2007;6.5;9.7;;;;	
	HondaAccord 2002-2005;2007;4.1;6.1;;;;	
HondaAccordVI 1998-2002;2007;;;9;18.5;26.4;	
	HondaCivic 2001-2003;2007;;9.8;12.9;;;	
HondaCivicHatchback 2006-;2007;5.1;;;;;	
	HondaCivicVI 1995-2001;2007;;;12.9;15.3;20.9;	
	HondaJazz 2004-;2007;2.8;;;;;	
	HyundaiAccent 1999-2003;2007;;17.7;17.1;23.6;;	
HyundaiAtos 1997-2005;2007;;13.3;15;;;	
	HyundaiElantra 2006-;2007;9.8;;;;;	
HyundaiElantraIII 2000-2006;2007;9.8;12.8;;;;	
	JeepGrandCherokee 2005-;2007;6.6;;;;;	
JeepGrandCherokeeI 1991-1999;2007;;;;18.6;24.6;	
	KiaCarnival 2002-2006;2007;25.1;33.9;;;;	
KiaRio 2000-2005;2007;8.5;15.5;;;;	
	KiaSorento 2002-2006;2007;4.5;;;;;	
LanciaY 1996-2003;2007;;13.3;18.2;26.7;;	
	LanciaYIII 2003-;2007;6.8;;;;;	
	LandRoverFreelander 1998-2006;2007;5.7;13.3;15.7;;;	
	LandRoverFreelander 2006-;2007;5.7;;;;;	
	Mazda323FV 1994-1998;2007;;;;14.1;23.6;	
	Mazda323FVI 1998-2003;2007;;10.4;14.2;14.1;;	
Mazda626V 1997-2001;2007;;;14.8;15.8;24;	
	MazdaMazda6 2005-2007;2007;3.1;;;;;	
MazdaMx-5 2001-2004;2007;;5.4;6.7;;;	
	MazdaMx-5 2004-2005;2007;3.9;;;;;	
MazdaMx-5 2005-;2007;3.9;;;;;	
	MazdaPremacy 2001-2005;2007;5.2;7.7;;;;	
MercedesA-class 1997-2004;2007;3;12.9;17;;;	
	MercedesA-class3dr 2004-2008;2007;3;;;;;	
	MercedesC-class 2000-2006;2007;;6;12.9;;;	
	MercedesE-class 1995-2001;2007;;;15.8;19.1;18.5;	
MercedesE-class 2002-2006;2007;6.9;12.1;;;;	
	MercedesS-class 1991-1998;2007;;;;18.4;;	
MercedesS-class 1998-2005;2007;6.7;7.9;9.3;18.4;;	
	MercedesS-class 2005-;2007;6.7;;;;;	
MercedesSL 1989-2000;2007;;;6.3;8.1;16.2;	
	MercedesSL 2001-2006;2007;4.9;5.3;;;;	
MercedesSL 2006-2008;2007;4.9;;;;;	
	MercedesSLK 1996-2004;2007;;5.5;5.9;9.5;;	
MercedesSLK 2004-;2007;3;;;;;	
	MiniCooperII 2005-2007;2007;7.4;;;;;	
MitsubishiCarisma 1995-2003;2007;;8.4;15;20.6;;	
	MitsubishiColt 2004-;2007;5.1;;;;;	
	MitsubishiColtV 1996-2002;2007;;;12.1;15.6;20.4;	
	MitsubishiGalant 2006-2008;2007;5.7;;;;;	
MitsubishiGalantVII 1996-2003;2007;;10.2;16;16.5;24.5;	
	MitsubishiGalantVIII 2003-2006;2007;5.7;10.2;;;;	
MitsubishiPajero 2006-;2007;5.2;;;;;	
	MitsubishiPajeroII5dr 1990-2000;2007;;;13.8;15.8;19.4;	
MitsubishiPajeroIII 2000-2006;2007;5.2;7.8;13.8;;;	
	MitsubishiSpaceWagon 1998-2000;2007;;;10.3;13.9;19.4;	
MitsubishiSpaceWagonIII 1998-2004;2007;4.2;7.5;10.3;13.9;19.4;	
	NissanAlmeraClassic 2006-;2007;5.9;;;;;	
NissanAlmeraI 1995-2000;2007;;;9.1;13.3;;	
	NissanAlmeraII 2000-2002;2007;;8.5;9.1;;;	
	NissanMicra 2000-2002;2007;;;15.9;21;27.2;	
	NissanMicra 2002-2005;2007;3.7;12.1;;;;	
NissanMicra5dr 2005-;2007;3.7;;;;;	
	NissanPrimera 2002-2004;2007;;8.7;;;;	
NissanPrimera 2004-;2007;6.9;;;;;	
	NissanPrimeraLiftback 1996-2002;2007;;12.1;13.3;17.1;27.9;	
NissanX-Trail 2003-2007;2007;5.3;;;;;	
	OpelAgila 2000-2003;2007;;8.9;;;;	
OpelAgila 2003-2007;2007;4.8;8.9;;;;	
	OpelAstra 2004-;2007;5.1;;;;;	
	OpelAstraF 1991-1998;2007;;;;;25.5;	
	OpelAstraG 1998-2004;2007;;11.6;14.6;21.6;;	
OpelCorsaB 1993-2000;2007;;;;15.8;23.5;	
	OpelCorsaC 2000-2006;2007;4.4;7.7;13.8;;;	
	OpelCorsaD 2006-;2007;4.4;;;;;	
	OpelFrontera 2001-2004;2007;8.4;13.7;16;;;	
	OpelFronteraA 1992-1998;2007;;;;19.2;25.1;	
	OpelFronteraB 1998-2001;2007;;;16;19.2;;	
OpelOmegaB 1994-2004;2007;7;13.3;19.7;24.4;27.7;	
	OpelVectraB 1995-2002;2007;;;14.6;18.7;25.2;	
OpelVectraC 2002-2005;2007;4.5;11.4;;;;	
	OpelZafira 1999-2006;2007;6.5;15;15;;;	
OpelZafira 2006-;2007;6.5;;;;;	
	Peugeot106I 1991-1996;2007;;;;;26.9;	
Peugeot106II 1996-2003;2007;;19.3;21;21.1;29.6;	
	Peugeot306 1994-2000;2007;;;;22.7;28.3;	
Peugeot306 1994-2000;2007;;;;22.7;28.3;	
	Peugeot307 2005-;2007;9.5;;;;;	
	Peugeot406 1995-2002;2007;;;13;16.3;19.5;	
	Peugeot406 2002-2004;2007;11.2;13;;;;	
PorscheBoxster 1996-2002;2007;3.2;4.9;5.8;6.2;;	
	RenaultClio 2005-;2007;8.1;;;;;	
RenaultClioI5dr 1990-1998;2007;;;;28.5;33.2;	
	RenaultClioII3dr 1998-2005;2007;8.1;11.8;19.1;;;	
	RenaultEspace 2006-;2007;10;;;;;	
	RenaultEspaceIII 1996-2003;2007;;;;;37.7;	
RenaultLaguna 1993-2001;2007;;;16.9;23.9;33.7;	
	RenaultLaguna 2005-2007;2007;11.2;;;;;	
RenaultLagunaII 2001-2005;2007;11.2;21.2;16.9;;;	
	RenaultMegane 1996-2002;2007;;;16.9;23.9;33.7;	
RenaultMeganeHatch 2002-2006;2007;11.2;21.2;;;;	
	RenaultScenic 1996-2003;2007;;13.8;17;27.8;;	
	RenaultScenic 2006-;2007;8.2;;;;;	
	RenaultTwingo 1993-2000;2007;;;27.1;35.7;36.1;	
	RenaultTwingo 2000-2002;2007;;13.4;27.1;;;	
	RenaultTwingo 2002-2004;2007;6.3;13.4;;;;	
	RenaultTwingo 2004-2007;2007;6.3;;;;;	
	Saab9-3 1998-2002;2007;;8.3;11.9;13.4;;	
SeatCordoba 2003-2006;2007;5;;;;;	
	SeatCordobaI 1993-1999;2007;;;;21.6;27.4;	
SeatCordobaII 1999-2000;2007;;;14.7;21.6;;	
	SeatIbiza3dr 2001-2006;2007;5;10.3;14.7;;;	
SeatToledoI 1991-1999;2007;;;13;28.8;36.8;	
	SkodaFabia 1999-2004;2007;;10;;;;	
SkodaFabia 2004-2007;2007;5;;;;;	
	SkodaFeliciaI 1994-1998;2007;;;;26;28.9;	
SkodaFeliciaII 1998-2000;2007;;;23.3;;;	
	SkodaOctavia 1998-2000;2007;;;;17.7;;	
	SkodaOctavia 2000-2004;2007;5.5;9.2;14.1;;;	
	SubaruForester 1997-2000;2007;;;7.8;;;	
SubaruForester 2002-2005;2007;3.3;4.2;;;;	
	SubaruForester 2005-2008;2007;3.3;;;;;	
SubaruLegacyII 1994-1999;2007;;;;10.8;14.3;	
	SubaruLegacyIII 1998-2003;2007;;6.3;7.5;;;	
SubaruLegacyIV 2003-2006;2007;6.3;7.5;;;;	
	SuzukiJimny 1998-2005;2007;7.2;9.7;12.6;;;	
SuzukiSwift 1989-2000;2007;;;;19.6;23.9;	
	SuzukiSwift 2000-2005;2007;;;14.6;19.6;23.9;	
SuzukiVitara 1989-2001;2007;;;10.7;15.1;19.1;	
	SuzukiWagonR+ 1997-2000;2007;;;7.4;;;	
SuzukiWagonR+ 2000-2006;2007;4.2;6.7;7.4;;;	
	SuzukiWagonR+ 2006-;2007;5.7;;;;;	
ToyotaAvensis 1997-2002;2007;;6.7;7.4;;;	
	ToyotaAvensis 2002-2006;2007;4.2;6.7;;;;	
ToyotaAvensis 2006-;2007;4.2;;;;;	
	ToyotaCorolla 1997-2000;2007;;;8.9;11.4;;	
ToyotaCorolla 2000-2002;2007;;8.4;8.9;;;	
	ToyotaCorolla 2004-2007;2007;3.7;;;;;	
	ToyotaRAV4 2000-2006;2007;3.7;8.4;8.9;;;	
	ToyotaRAV4 2006-;2007;3;;;;;	
ToyotaStarlet 1996-2000;2007;;;;9.3;;	
	ToyotaYaris 1999-2003;2007;;3.6;5.6;5.4;;	
ToyotaYaris5dr 2005-;2007;3.6;;;;;	
	VolkswagenGolf 2003-;2007;4.5;8.4;;;;	
	VolkswagenGolfIII 1991-1997;2007;;;;;26.4;	
	VolkswagenLupo 1998-2005;2007;6.1;9.8;13.7;;;	
VolkswagenNEWBeetle 1998-2005;2007;4.1;8.5;12.1;;;	
	VolkswagenPassat 1996-2005;2007;5.9;8.2;19.1;23.8;28.2;	
VolkswagenPassat 2005-;2007;5.9;;;;;	
	VolkswagenPolo 1994-1999;2007;;10.3;11.6;16.8;24.5;	
VolkswagenPolo 2005-;2007;5.1;;;;;	
	VolkswagenSharan 1995-2000;2007;;;20.5;21.9;25.5;	
VolkswagenSharan 2003-;2007;11.5;;;;;	
	VolkswagenTouran 2006-;2007;6;;;;;	
	Volvo850 1991-1997;2007;;;;;22.9;	
Volvo940 1988-1998;2007;;;;;18.2;	
VolvoS40 2004-2007;2007;4.6;;;;;	
VolvoS40 2004-2007;2007;4.6;;;;;	
VolvoS60 2000-2004;2007;;8.1;11.7;;;	
VolvoS60 2000-2004;2007;;7.2;;;;	
VolvoS60 2004-;2007;6.9;;;;;	
VolvoS70 1997-2000;2007;;;19.6;22;;	
VolvoS80 1998-2006;2007;6.9;10.1;13;;;	
VolvoS80 2006-;2007;6.9;;;;;	
VolvoS90 1997-1998;2007;;;;16.1;;	
VolvoV40 1995-2002;2007;;;11.7;19.8;;	
VolvoV40 2002-2004;2007;4.6;8.1;;;;	
VolvoV70 1997-2000;2007;;;19.6;22;;	
VolvoV70 2004-2007;2007;7.8;;;;;	
VolvoV90 1997-2000;2007;;;;16.1;;	
</tbody></table>
