јвтомобиль;√од ;1-3лет ;4-5лет ;6-7лет ;8-9лет ;10-11лет ;
HondaCivicVI 1995-2001;2006;;;11.7;16.4;22.2;
HyundaiAccent 1999-2003;2006;10.7;13.5;19.2;;;
HyundaiAtos 1997-2005;2006;7.2;12;16.2;;;
HyundaiAtos 2005-;2006;7.2;;;;;
HyundaiElantraIII 2000-2006;2006;8.4;16.5;;;;
JeepGrandCherokee 2005-;2006;8.8;;;;;
JeepGrandCherokeeI 1991-1999;2006;;;16.3;20.2;;
JeepGrandCherokeeII 1999-2004;2006;8.8;12.2;;;;
KiaSephia 2000-2004;2006;7.7;18.2;21.5;;;
KiaSephiaII 1998-2000;2006;;;21.5;28.9;;
LanciaY 1996-2003;2006;;12.4;20.3;26.3;;
LanciaYIII 2003-;2006;8.6;;;;;
LandRoverFreelander 1998-2006;2006;5.3;14.1;14.1;;;
Mazda121II 1990-1996;2006;;;;;21.6;
Mazda121III 1996-2000;2006;;;21.4;25.4;21.6;
Mazda323FV 1994-1998;2006;;;;17.5;25;
Mazda323FVI 1998-2003;2006;5.9;11;9.3;17.5;;
Mazda626V 1997-2001;2006;;;9.1;18.1;25.2;
Mazda626V 1997-2001;2006;;;12.2;16.2;;
MazdaDemio 2000-2003;2006;;5.3;;;;
MazdaMx-5 2001-2004;2006;3.9;4.8;;;;
MazdaMx-5 2001-2004;2006;3.9;4.8;;;;
MazdaMx-5 2004-2005;2006;3.9;;;;;
MazdaMx-5 2005-;2006;3.9;;;;;
MazdaPremacy 2001-2005;2006;4.8;8.5;;;;
MercedesA-class 1997-2004;2006;4;12.6;16;;;
MercedesA-class3dr 2004-2008;2006;4;;;;;
MercedesC-class 2000-2006;2006;4.2;8.3;14.5;;;
MercedesE-class 1995-2001;2006;;10.5;;;;
MercedesE-class 2002-2006;2006;;10.5;;;;
MercedesS-class 1991-1998;2006;;;;16.2;14.2;
MercedesS-class 1998-2005;2006;7;7.2;16.4;;;
MercedesS-class 2005-;2006;7;;;;;
MercedesSL 1989-2000;2006;;4.1;8.8;;;
MercedesSL 2001-2006;2006;5.5;4.1;;;;
MercedesSLK 1996-2004;2006;3.8;5.6;7.2;;;
MercedesSLK 2004-;2006;3.8;;;;;
MiniCooper 2001-2006;2006;9;;;;;
MitsubishiCarisma 1995-2003;2006;6;10;18.4;23.5;;
MitsubishiColt 2004-;2006;5.2;;;;;
MitsubishiColtV 1996-2002;2006;;;11.7;15;23.6;
MitsubishiGalantVII 1996-2003;2006;6.2;14.3;13.2;19.9;24.4;
MitsubishiGalantVIII 2003-2006;2006;6.2;;;;;
MitsubishiPajeroII5dr 1990-2000;2006;;;13.9;;22.3;
MitsubishiPajeroIII 2000-2006;2006;5.9;8.2;;;;
MitsubishiSpaceWagon 1998-2000;2006;;;7.2;15.9;;
MitsubishiSpaceWagonIII 1998-2004;2006;5.3;7.2;10.2;15.9;;
NissanAlmeraClassic 2006-;2006;5.1;;;;;
NissanAlmeraI 1995-2000;2006;;;8.7;13.8;;
NissanAlmeraII 2000-2002;2006;;6.3;8.7;;;
NissanMicra 2000-2002;2006;;10.8;14;21.5;26.3;
NissanMicra 2002-2005;2006;7.6;;;;;
NissanMicra5dr 2005-;2006;7.6;;;;;
NissanPrimera 1996-2002;2006;;8.4;13.5;22.2;28.4;
NissanPrimera 2002-2004;2006;4.9;8.4;;;;
NissanPrimera 2004-;2006;4.9;;;;;
NissanSerena 1991-1999;2006;;;18.4;;;
OpelAgila 2000-2003;2006;5.5;7.9;;;;
OpelAgila 2003-2007;2006;5.5;7.9;;;;
OpelAstra 2004-;2006;6.7;;;;;
OpelAstraF 1991-1998;2006;;;;20.6;26.4;
OpelAstraG 1998-2004;2006;6.7;10.9;14.8;;;
OpelCorsaB 1993-2000;2006;;;13.4;17.2;25.5;
OpelCorsaC 2000-2006;2006;4.3;10.7;13.4;;;
OpelFrontera 2001-2004;2006;11.2;16.4;;;;
OpelFronteraA 1992-1998;2006;;;;18.3;26.3;
OpelFronteraB 1998-2001;2006;;;17;18.3;;
OpelOmegaB 1994-2004;2006;8.9;13.3;21.6;27.2;29.3;
OpelVectraB 1995-2002;2006;8.7;10.6;15.6;19;26.3;
OpelVectraC 2002-2005;2006;8.7;10.6;;;;
OpelZafira 1999-2006;2006;10.1;14.7;;;;
Peugeot106I 1991-1996;2006;;;;;30.6;
Peugeot106I 1991-1996;2006;;;;;30.6;
Peugeot106II 1996-2003;2006;9.8;16.4;18.8;24.7;30.6;
Peugeot2073dr 2006-;2006;7.5;;;;;
Peugeot306 1994-2000;2006;;;18.5;25;30.3;
Peugeot306 1994-2000;2006;;;2518.5;25;30.3;
Peugeot307 2005-;2006;7.5;;;;;
Peugeot405II 1992-1995;2006;;;;;29.8;
Peugeot406 1995-2002;2006;10.6;11.9;16.4;17.9;;
Peugeot406 2002-2004;2006;10.6;11.9;;;;
Porsche911 1993-1997;2006;;;;6.5;8.9;
Porsche911 1997-2005;2006;;;5.8;;;
PorscheBoxster 1996-2002;2006;;4.4;5.8;;;
Renault19II 1991-1996;2006;;;;;36.5;
RenaultClio 2005-;2006;7.3;;;;;
RenaultClioI5dr 1990-1998;2006;;;;30.9;37.9;
RenaultClioII3dr 1998-2005;2006;7.3;;;;;
RenaultEspaceIII 1996-2003;2006;8.5;13.5;16.3;30.5;34.8;
RenaultEspaceIV 2003-2006;2006;8.5;;;;;
RenaultLaguna 1993-2001;2006;;;16.4;25.6;35.5;
RenaultLaguna 2005-2007;2006;14.8;;;;;
RenaultLagunaII 2001-2005;2006;14.8;12.7;;;;
RenaultMegane 1996-2002;2006;;12.6;19.2;30.9;;
RenaultMeganeHatch 2002-2006;2006;6.7;;;;;
RenaultScenic 1996-2003;2006;7.2;15.2;18.1;;;
RenaultTwingo 1993-2000;2006;;;34.3;37.1;37.9;
RenaultTwingo 2000-2002;2006;;15.2;34.3;;;
RenaultTwingo 2002-2004;2006;7.3;15.2;;;;
RenaultTwingo 2004-2007;2006;7.3;;;;;
Saab9-3 1998-2002;2006;;8.7;11.8;;;
SeatCordoba 2003-2006;2006;7.1;;;;;
SeatCordobaI 1993-1999;2006;;;10.4;22.1;32.4;
SeatIbiza3dr 1993-1999;2006;;;15.3;22.1;32.4;
SeatIbiza3dr 1999-2001;2006;;;15.3;22.1;;
SeatLeon 1999-2005;2006;6.4;10.3;;;;
SeatLeon 2005-;2006;6.4;;;;;
SeatToledoI 1991-1999;2006;;;21.2;32.2;41.2;
SeatToledoII 1999-2006;2006;6.4;10.3;21.2;;;
SkodaFabia 1999-2004;2006;5.3;9.9;;;;
SkodaFabia 2004-2007;2006;5.3;;;;;
SkodaFeliciaI 1994-1998;2006;;;;26.7;;
SkodaFeliciaII 1998-2000;2006;;;23.7;;;
SkodaOctavia 1998-2000;2006;;;15;;;
SkodaOctavia 2000-2004;2006;6.4;10.3;;;;
SubaruForester 1997-2000;2006;;6.2;8.6;;;
SubaruForester 2002-2005;2006;3;;;;;
SubaruForester 2005-2008;2006;3;;;;;
SubaruLegacyII 1994-1999;2006;;;8.6;12.2;15.8;
SubaruLegacyIII 1998-2003;2006;3.8;6.7;8.6;;;
SubaruLegacyIV 2003-2006;2006;3.8;;;;;
SuzukiBaleno 1995-2002;2006;;7.9;11.7;14.5;;
SuzukiJimnyCabrio 2000-2005;2006;5;;;;;
SuzukiSwift 1989-2000;2006;;;16.5;19.9;24.3;
SuzukiSwift 2000-2005;2006;6.7;10.9;16.5;;;
SuzukiVitara 1989-2001;2006;;;10.4;17.4;17.9;
SuzukiWagonR+ 1997-2000;2006;;;24.8;;;
SuzukiWagonR+ 2000-2006;2006;5.7;17.5;;;;
ToyotaAvensis 1997-2002;2006;;5.8;7.4;;;
ToyotaAvensis 2002-2006;2006;5.1;5.8;;;;
ToyotaCarina 1992-1998;2006;;;;13.8;16.1;
ToyotaCorolla 1997-2000;2006;;;7.1;10;15.1;
ToyotaCorolla 2000-2002;2006;3.5;7.1;;;;
ToyotaCorolla 2004-2007;2006;3.5;;;;;
ToyotaRAV4 1994-2000;2006;;;7.2;8.8;17.1;
ToyotaRAV4 2000-2006;2006;4.1;5.6;7.2;;;
ToyotaStarlet 1996-2000;2006;;;;8.8;17.1;
ToyotaYaris 1999-2003;2006;3.4;5.7;;;;
ToyotaYaris5dr 2005-;2006;3.4;;;;;
VolkswagenBora 1998-2004;2006;4.9;8.2;12.1;;;
VolkswagenGolfIV 1997-2003;2006;;8.2;12.1;;;
VolkswagenLupo 1998-2005;2006;6.2;10.5;12.4;;;
VolkswagenNEWBeetle 1998-2005;2006;5;9.7;;;;
VolkswagenPassat 2005-;2006;6.3;;;;;
VolkswagenPassatVariant 1997-2005;2006;6.3;12.2;20.9;23.7;;
VolkswagenSharan 1995-2000;2006;;;20.2;22.9;;
VolkswagenSharan 2003-;2006;12.7;;;;;
VolkswagenVento 1991-1998;2006;;;;21.8;27.3;
Volvo850 1991-1997;2006;;;;21.3;25.6;
Volvo940 1988-1998;2006;;;;16.9;21;
Volvo960 1990-1996;2006;;;;;21;
VolvoS40 1995-2004;2006;7.1;8;15.1;;;
VolvoS40 2004-2007;2006;7.1;;;;;
VolvoS60 2000-2004;2006;5;;;;;
VolvoS70 1997-2000;2006;;;;17;;
VolvoS80 1998-2006;2006;7.7;9.5;;;;
VolvoV40 1995-2002;2006;;8;15.1;;;
VolvoV40 2002-2004;2006;7.1;8;;;;
VolvoV70 1997-2000;2006;;;17;;;
VolvoV70 2004-2007;2006;6.8;;;;;
